LUK.1.1	Он-ка укал хоял хачал бичэвур тэлэӈур дукудилритан, 
LUK.1.2	он-ка дюлэгэл укал коечэл, Төрэндэ кэлмэлни бичэл муттэки тэлэӈритэн, 
LUK.1.3	тачин-та би, нонан аймакань эйду кубэччон яруттиди, эйдувэн амалтач тэлэӈдэй хинтэки некрэм, хэрлэвӈив Феофил, 
LUK.1.4	мэн хупкучукэмчэй ӈиӈтэвэн бипкэч халдас.
LUK.1.5	Ок-ка Ирод Иудея тэгэмэрэн ӈунэмэчинни бисин, таракам поп Захария гэрбэди биддин, ноӈан хөнтэч попач Авияч гэрбэлэттич ханилаттин, ӈунминтэн
LUK.1.6	Ноӈартан дӫридюр Хэвкитки айгарил биситэн, Хэвки нюнчэлдулин, иткачалин-да ач услач биникэн. 
LUK.1.7	Ноӈартан ач хутлэсэл биситэн; Елизавета маӈай бисин; дӫридюр-дэлу укал хагдыл, хоя-да анӈанаӈалкасар биситэн. 
LUK.1.8	Өмнэкэн Захария, мэн амалталий хинмачинь Хэвкитки хиргэддэкэн, 
LUK.1.9	он хиргэмӈэлдулил долитан биннэгрэгчинни, Хэвки Дюлан бисин, таду хэӈкэсу хэбгиттэй. 
LUK.1.10	Хэӈкэсу хэбгичиддэкэн, хоял бэил толин илатникан, нэӈэддитэн. 
LUK.1.11	Таракам ангел, Хэвки мэтумӈэн, ясаллан хэбгилдывун ангидалан ичулрин. 
LUK.1.12	Ангелу иттыди, Захария олрин, энтэкэе хэӈулрин. 
LUK.1.13	Ангел ноӈантакин гөнин:
LUK.1.13	– Эди ӈэлкил, Захария, хин нэӈэччэй долдаврис, атыкаӈаста Елизавета нярудьгас балдавкандин, гэрбудинри-дэ ноӈман Иоанн. 
LUK.1.14	Энтэкэе-дэ өрэлдэдинри, хокаӈчидинри, хоял-да балдадяккон өрэлдэдир. 
LUK.1.15	Ноӈан эгден бэй Хэвкитки бигрэдин, минэв, хөнтэв-дэ катагу коланаку этэн колгарар. Эдлэй-дэ унэт эниндукий балдар, укал Хиргэчин Хирандин хираначчин. 
