MAT.1.1	ಇದ್ ಯೇಸು 
MAT.1.3	ಯೂದ ತಾಮಾರ ಎಣ್ಣುವ ಪೊಣ್ಣಾಳ್‍ರಗುಂಡ್ ಪೆರೆಚ ಪಿಂಞ ಜೆರಹನನ ಪೆತ್ತತ್. ಪೆರೆಚಂಡ ಮೋಂವೊ ಹೆಚ್ರೋಮ. ಹೆಚ್ರೋಮಂಡ ಮೋಂವೊ ಅರಾಮ. 
MAT.1.4	ಅರಾಮಂಡ ಮೋಂವೊ ಅಮ್ಮಿನಾದಾಬ. ಅಮ್ಮಿನಾದಾಬಂಡ ಮೋಂವೊ ನಹಶೋನ. ನಹಶೋನಂಡ ಮೋಂವೊ ಸಲ್ಮೋನ. 
MAT.1.5	ಸಲ್ಮೋನ ರಾಹಾಬ ಎಣ್ಣುವ ಪೊಣ್ಣಾಳ್‍ರಗುಂಡ್ ಬೋವಜನ ಪೆತ್ತತ್. ಬೋವಜ ರೂತ ಎಣ್ಣುವ ಪೊಣ್ಣಾಳ್‍ರಗುಂಡ್ ಓಬೇದನ ಪೆತ್ತತ್. ಓಬೇದಂಡ ಮೋಂವೊ ಇಷಯ. 
MAT.1.6	ಇಷಯಂಡ ಮೋಂವೊ ರಾಜನಾನ 
MAT.1.7	ಸೊಲೊಮೋನಂಡ ಮೋಂವೊ ರೆಹಬ್ಬಾಮ. ರೆಹಬ್ಬಾಮಂಡ ಮೋಂವೊ ಅಬೀಯ. ಅಬೀಯಂಡ ಮೋಂವೊ ಆಸ. 
MAT.1.8	ಆಸಂಡ ಮೋಂವೊ ಯೆಹೋಷಾಫಾಟ. ಯೆಹೋಷಾಫಾಟಂಡ ಮೋಂವೊ ಯೆಹೋರಾಮ. ಯೆಹೋರಾಮಂಡ ಮೋಂವೊ ಉಜ್ಜೀಯ. 
MAT.1.9	ಉಜ್ಜೀಯಂಡ ಮೋಂವೊ ಯೋತಾಮ. ಯೋತಾಮಂಡ ಮೋಂವೊ ಆಹಾಜ. ಆಹಾಜಂಡ ಮೋಂವೊ ಹಿಜ್ಕೀಯ. 
MAT.1.10	ಹಿಜ್ಕೀಯಂಡ ಮೋಂವೊ ಮನಸ್ಸೆ. ಮನಸ್ಸೆಂಡ ಮೋಂವೊ ಆಮೋನ. ಆಮೋನಂಡ ಮೋಂವೊ ಯೋಷೀಯ. 
MAT.1.11	ಇಸ್ರಾಯೇಲ್ ಜನ ಬಾಬೇಲ್ ಜನತ್‍ರ ಪಕ್ಕ ಯುದ್ದತ್‍ಲ್ ಚೋತ್‍ಪೋನಗುಂಡ್, ಬಾಬೇಲ್ ದೇಶಕ್ ಈಂಗಳ ಕೊಂಡ್ ಪೋಚಿ. ಅನ್ನನೆ ಯೋಷಿಯನ ಬಾಬೇಲ್ ದೇಶಕ್ ಕೊಂಡ್ ಪೋಪಕ ಯೆಕೊನ್ಯ ಪಿಂಞ ಅಂವೊಂಡ ಅಣ್ಣತಮ್ಮಣಂಗ ಪುಟ್ಟ್‌ಚಿ.
MAT.1.12	ಯೆಕೂನ್ಯಂಡ ಮೋಂವೊ ಶೆಯಲ್ತಿಯೇಲ. ಶೆಯಲ್ತಿಯೇಲಂಡ ಮೋಂವೊ ಜೆರುಬ್ಬಾಬೆಲ. 
