MRK.1.1	Hatseto mawotich oochu Jesus Christ, Tikeaootli ma chue; 
MRK.1.2	Takeh nichatinkles akehe koonachatya kehe, Oosooasi sakewotihche nachatyea atghuni oochu naaootle.
MRK.1.3	Hligi otyesta tike kemweh toowe ooli,
MRK.1.3	Atghuni oochu ahasoonesun,
MRK.1.3	aghahati tsiwoeseh kwetooyakehe.
MRK.1.4	John tane tukeghingklit kemweh, hatse tane tatilon tunaghakeooskliti ahtilon otlwechi keochehlalon kehe aghametseli oneochetolel asilon. 
MRK.1.5	Kahchu yinkhadeshalon tike okehe otsi Judaea, kahchu aghatane yateh otsi Jerusalem, kuihe sahke Jordan aghanetye tukukeghinklilon, koometselihi kooatuoochatihi. 
MRK.1.6	John ghatai manatsunne ghigheze gha eghayulon natun atyetlalon atazi syeh kahchu atazi syeh ihe nanihklulon: oohchu yaskesi yu achalinoo yu ayilai yetsetlon; 
MRK.1.7	Oochu toowe ooli yehtilon, yetsi ootelon, Hligi sooniya sataihchi anati, nakyeklule aghoo atu enasoo machi chunoostyeli mamakeoosut. 
MRK.1.8	Suni la tu ihe naghakyeihklit: ahwole atai tu ihe naghakyeihlili Atsinde Oochu ihe.
MRK.1.9	Occhu gheise wazeluh ayi dzine, Jesus otsidesha Ion Nazareth Galilee otsi, John tuyakeghinklilon Jesus Jordan otsi. 
MRK.1.10	Kwete tu tsi tghatyeza tsiwohzon, wailon yake kwa matahatsataghiolon, yakeotine yetsi natezalon oietli etye: 
MRK.1.11	Oochu otech yake otsi atitsuklon, toowela ooli oti ihe, Nila otaihchi nwasti Sachue.
MRK.1.12	Kwete atsinde achu tike tsi yatehalon kemwehchi. 
MRK.1.13	Koochi kemwehchi atu tane nuklechi tioketi dzineke kooali, yakaotehun Metseli aghaghatai; kahchu ghatai metseli ihkyateslon; kahchu oochu woei oochu yetsinatilon.
MRK.1.14	Kootoo John kwechaghinhtyilon tane kwechaghinhtyinti, Jesus yuhchidesha Galilee, koohootyeh otech oochu Nagha Tgha makaoonadzutti otsi, 
MRK.1.15	Kahchu toowela ooli, Tyeneti Nagha Tgha kyeyi: naghametselihi kyechahli, oochu otech oochu aha kootahti.
MRK.1.16	Ihtyezon tu chok Galilee tghamweh klontyesha, yailon Simon yu Andrew yu mekye yu tyemil tayesklu tu chok: atai tane taesklu tane eli. 
MRK.1.17	Oochu Jesus toowela ooli yehti, Sakyetahtyel, kooh hanahooslihi oohchu hluge kehchi enahooslihi tane niyutooleli chon otsi. 
MRK.1.18	Kwete taghatyemile echaghanelelon kikyehtyeshalon.
MRK.1.19	Oohchu oontsutli tontyo tyesha, yaih James Zebedee machue, kahchu John mekye, atilon tachin ela ehkye atyi tyemil keyatinklulon. 
MRK.1.20	Kwete tyechi yehtilon: kwa taghata echughanelilon tachin ela ehkye atyi Zebedee oochu keotihche yu, oohchu kikyetyesklit.
MRK.1.21	Oohchu kochi ghatyestyetl Capernaum; kahchu kwete taneghaotatyech kwa kwiya menejitti dzineneh tane chehotyeh. 
MRK.1.22	Oneghanintyellon yaotihche: kooatinti yaotatiheh otech oochu tatihi natsuti kehchi ayihoo mawoochuli, atu adeskles tane kehchi. 
MRK.1.23	Oohchu iehti kweh atiih hligi teze ta kwa taneghaotatyech yaghati metseli ayiih; kahchu ootyestalon, 
MRK.1.24	Toowe ooli, Atu aghaititaniah; atu ooli nagha assitli iyo aoohti, nuni Jesus Nazareth otsi? Yuhchitiyala aghayaonila? Atanasti nelesi Nagha Tgha Maatsinde Oochu ooih.
MRK.1.25	Jesus toowela ooli yehti, yachioote, Atu oonatih yehti, setseghatiyah yetsun tsi. 
MRK.1.26	Kootoo aghaghatai tsunale too yayaghinchil, oohtye ootyestalo, yetsi hadesha. 
MRK.1.27	Aghanetye ooghatesta, aghanetye chu koohtaghoati, tiyeohtye, yetike aloontye? ye tane tsi oochatihi koonte? Aha kootesti otech oochu gha saghatai mayis atu natset. 
MRK.1.28	Koohchu oonthe atyeh meghoyuh yito kwa Galilee.
MRK.1.29	Ayite otsi, ghaghatestyetlon taneghaotatyechi kwa otsi, kweghaghintyetl Simon yu Andrew yu kwa, James chu John chu. 
MRK.1.30	Simon tsiyue ma tyelasatyi teskoone ayila, oohchu koohoohati. 
MRK.1.31	Yechidesha yila inchut, kahchu tahyatinti; kwete ayi teskoone ayila yecheli, ayi oota yakeotihch.
MRK.1.32	Hatse kahkachi, naghioo, kiya nanila yatitine, yaghi chu mazichi yaghatai metselihi. 
MRK.1.33	Kahchu atghe ehlaititi tane natihti tyechiklaghatati tusklahti. 
