JHN.1.1	Ayns y toshiaght va’n Goo, as va’n Goo marish Jee, as va’n Goo Jee. 
JHN.1.2	Va’n Goo cheddin ayns y toshiaght marish Jee. 
JHN.1.3	Liorishyn va dy chooilley nhee er ny yannoo; as n’egooish cha row nhee erbee jeant va er ny yannoo; 
JHN.1.4	Aynsyn va bea, as va’n vea soilshey deiney. 
JHN.1.5	As ren y soilshey soilshean ayns y dorraghys, as cha ren y dorraghys goaill-rish.
JHN.1.6	Va dooinney er ny choyrt veih Jee va enmyssit Ean. 
JHN.1.7	Haink eh shoh son feanish, dy ymmyrkey feanish jeh’n toilshey, liorishyn dy voddagh dy chooilley ghooinney credjal. 
JHN.1.8	Cha nee eh va’n soilshey shen, agh v’eh er ny choyrt dy ymmyrkey feanish jeh’n toilshey shen. 
JHN.1.9	Shen va’n soilshey firrinagh, ta soilshean ayns dy chooilley ghooinney ta cheet er y theihll. 
JHN.1.10	V’eh ayns y theihll, as va’n seihll er ny yannoo liorishyn, as y seihll cha dug enney er. 
JHN.1.11	Haink eh gys e vooinjer hene, agh cha ren e vooinjer hene soiaghey jeh. 
JHN.1.12	Agh whilleen as ren soiaghey jeh, dauesyn hug eh pooar dy ve nyn mec dy Yee, eer dauesyn ta credjal ayns yn ennym echey: 
JHN.1.13	Va er nyn ruggey, cha nee jeh fuill, ny jeh aigney ny foalley, ny jeh aigney dooinney, agh jeh Jee. 
JHN.1.14	As ghow yn Goo er dooghys ny foalley, as ren eh baghey nyn mast’ ain (as hug shin my-ner yn ghloyr echey, yn ghloyr myr jeh’n ynrycan Mac er-ny-gheddyn jeh’n Ayr) lane dy ghrayse as dy irrinys.
JHN.1.15	(Dymmyrk Ean feanish jeh, as deïe eh, gra, Shoh eh jeh ren mish loayrt, T’eshyn ta cheet my yeï er ny hoiaghey roym; son v’eh roym) 
JHN.1.16	As jeh’n slane towse echey ta shin ooilley er gheddyn ayrn, as grayse er grayse. 
JHN.1.17	Son va’n leigh er ny choyrt liorish Moses agh haink grayse as firrinys liorish Yeesey Creest. 
JHN.1.18	Cha vel unnane erbee er vakin Jee ec traa erbee; yn ynrycan Mac v’er-ny-gheddyn, ta ayns oghrish yn Ayr, eshyn t’er hoilshaghey eh.
JHN.1.19	As shoh feanish Ean, tra hug ny Hewnyn saggyrtyn as Leviteyn veih Jerusalem dy ênaght jeh, Quoi oo hene? 
JHN.1.20	As ghow eh rish, as cha dob eh; agh ghow eh rish, Cha nee mish yn Creest. 
