MAT.1.1	Niil neq, Aqbhaqlaqhaq khi mail Daqbhil nee mail ge khal leevq-a nail, Yeiqsul Khali nail aqceevq ngaol. 
MAT.1.2	Aqbhaqlaqhaq nail yaq neq, Ilcav ngaol.
MAT.1.2	Ilcav nail yaq neq,
MAT.1.2	Yaqkov ngaol.
MAT.1.2	Yaqkov nail yaq neq,
MAT.1.2	Yuldav khi mail
MAT.1.2	aivq nail mailnail juq ngaol.
MAT.1.3	Yuldav nail yaq neq,
MAT.1.3	aivq nail ildaoq
MAT.1.3	Daqmaq ovq nee
MAT.1.3	doevq lee-a nail Phaqyail
MAT.1.3	khi mail Seiqlal ngaol.
MAT.1.3	Phaqyail nail yaq neq,
MAT.1.3	Heiqyaqloq ngaol.
MAT.1.3	Heiqyaqloq nail yaq neq,
MAT.1.3	Aqlaq ngaol.
MAT.1.4	Aqlaq nail yaq neq,
MAT.1.4	Aqmiqnaqdal ngaol.
MAT.1.4	Aqmiqnaqdal nail yaq neq,
MAT.1.4	Naqsoq ngaol.
MAT.1.4	Naqsoq nail yaq neq,
MAT.1.4	Saqlaqmaq ngaol.
MAT.1.5	Saqlaqmaq nail yaq neq,
MAT.1.5	aivq nail ildaoq Laqhal
MAT.1.5	ovq nee doevq lee-a nail
MAT.1.5	Bhaolyav ngaol.
MAT.1.5	Bhaolyav nail yaq neq,
MAT.1.5	aivq nail ildaoq Lultha
MAT.1.5	ovq nee doevq lee-a nail
MAT.1.5	Aolbhail ngaol.
MAT.1.5	Aolbhail nail yaq neq,
MAT.1.5	Yeiqsail ngaol.
MAT.1.6	Yeiqsail nail yaq neq,
MAT.1.6	heeqphaq Daqbhil ngaol.
MAT.1.6	Daqbhil nail yaq neq,
MAT.1.6	Saollavmoq ngaol.
MAT.1.6	Saollavmoq nail aqma neq,
MAT.1.6	Ullilya bhai teevq aol
MAT.1.6	hal ail-a nail ngaol.
MAT.1.7	Saollavmoq nail yaq neq,
MAT.1.7	Leiqhaolbhanq ngaol.
MAT.1.7	Leiqhaolbhanq nail yaq neq,
MAT.1.7	Aqbhilyav ngaol.
MAT.1.7	Aqbhilyav nail yaq neq,
MAT.1.7	Aqsaq ngaol.
MAT.1.8	Aqsaq nail yaq neq,
MAT.1.8	Yeiqhaolsaqphal ngaol.
MAT.1.8	Yeiqhaolsaqphal nail
MAT.1.8	yaq neq, Yaollanq ngaol.
MAT.1.8	Yaollanq nail yaq neq,
MAT.1.8	Aolsil ngaol.
MAT.1.9	Aolsil nail yaq neq,
MAT.1.9	Yaoldaq ngaol.
MAT.1.9	Yaoldaq nail yaq neq,
MAT.1.9	Aqgav ngaol.
MAT.1.9	Aqgav nail yaq neq,
MAT.1.9	Heiqsaqgil ngaol.
MAT.1.10	Heiqsaqgil nail yaq neq,
MAT.1.10	Maqnaqseiq ngaol.
MAT.1.10	Maqnaqseiq nail yaq neq,
MAT.1.10	Aqmoq ngaol.
MAT.1.10	Aqmoq nail yaq neq,
MAT.1.10	Yaolsiv ngaol.
MAT.1.11	Yaolsiv nail yaq neq,
MAT.1.11	Yeiqkhaolnil khi mail,
MAT.1.11	aivq nail mailnail juq ngaol.
MAT.1.11	Niil neq, Ilsaqleiqlal nail tsaol-aq juq Bhaqbhulloq milkhaoq bhai bhi nieil-aivq-a nail yanq bhai kev dai, ge khal leevq-a nail aqceevq ngaol.
MAT.1.12	Bhaqbhulloq milkhaoq bhai bhi nieil-aivq khi pultavq ge khal leevq-a nail aqceevq neq, niailhai ngaol.
MAT.1.12	Yeiqkhaolnil nail yaq neq,
MAT.1.12	Saqlaqdeiqlal ngaol.
MAT.1.12	Saqlaqdeiqlal nail yaq neq,
MAT.1.12	Seiqlulbheiqlal ngaol.
MAT.1.13	Seiqlulbheiqlal nail
MAT.1.13	yaq neq, Aqbhil-ov ngaol.
MAT.1.13	Aqbhil-ov nail yaq neq,
MAT.1.13	Illilyakhin ngaol.
MAT.1.13	Illilyakhin nail yaq neq,
MAT.1.13	Aqjaoq ngaol.
MAT.1.14	Aqjaoq nail yaq neq,
MAT.1.14	Saqdol ngaol.
MAT.1.14	Saqdol nail yaq neq,
