PSA.1.1	Gwynnvys an gour na gerdh yn kusul an debeles, ha na sev yn fordh peghadoryon : ha na esedh yn esedhva an re a wra ges.
PSA.1.2	Mes yma y lowena yn lagha an Arloedh : hag yn y lagha y preder ev dydh ha nos.
PSA.1.3	Ev a vydh avel gwydhenn plynsys ryb goverow dowr, ow ri hy frut yn hy thermyn : ny wedher hy del; ha pypynag a wrello, ev a sewen.
PSA.1.4	Nyns yw yndellma an debeles : mes yth yns i avel kulyn a wra an gwyns y hwytha dhe-ves.
PSA.1.5	Rakhenna, ny sev an debeles y'n breus : na peghadoryon yn kuntelles an re wiryon.
PSA.1.6	Rag an Arloedh a aswonn fordh an re wiryon : mes fordh an debeles a dhe goll.
PSA.2.1	Prag y hwra an kenedhlow deray : ha'n poblow devisya taklow euver?
PSA.2.2	Myghternedh an norvys a sev, ha'n rewloryon a omgusul war-barth : erbynn an Arloedh hag erbynn y Untys.
PSA.2.3	Terryn ni aga holmow dhe demmyn : ha tewlel aga herdyn dhiworthyn.
PSA.2.4	Neb a esedh y'n nevow a hwerth : an Arloedh a wra ges anedha.
PSA.2.5	Ena ev a gews orta yn y sorr : ha'ga broweghi yn y gonnar.
PSA.2.6	My re worras ow Myghtern : war Sion ow menydh sans.
PSA.2.7	My a dheriv an ordenans : an Arloedh a leveris dhymm, Ty yw ow Mab, hedhyw my re'th tineythis.
PSA.2.8	Govynn orthiv, ha my a re dhis an kenedhlow y'th ertach : ha pennow pella an nor y'th perghennogeth.
PSA.2.9	Ty a's terr gans gwelenn horn : ty a's brew dhe demmyn avel lester gweythor pri.
PSA.2.10	Ytho bedhewgh fur lemmyn, hwi vyghternedh : bedhewgh keskys, hwi vreusysi an norvys.
PSA.2.11	Servyewgh an Arloedh gans own : ha lowenhewgh gans krena.
PSA.2.12	Ymmewgh dhe'n Mab, ma na vo serrys ha na yllowgh dhe goll y'n fordh : rag y sorr a flamm yn skon; gwynnvys an re a hwila skovva ynno ev.
PSA.3.1	A Arloedh, fatell yw ow eskerens ynkressyes : lies yw neb a sev er ow fynn.
PSA.3.2	Lies yw neb a lever a'm enev : Nyns eus gweres ragdho yn Duw.
PSA.3.3	Mes ty, A Arloedh, yw skoes a-dro dhymm : ow glori, neb a dhrehav ow fenn.
PSA.3.4	My a elwis war an Arloedh gans ow lev : hag ev a worthybis dhymm mes a'y venydh sans.
PSA.3.5	My a wrowedhas ha koska : ha my a dhifunas, rag an Arloedh a'm skoedh.
PSA.3.6	Ny borthav own a dhegow a vilyow a'n bobel : neb re omsettyas a-derdro er ow fynn.
PSA.3.7	Sav, A Arloedh; salw vy, ow Duw : rag ty re weskis ow eskerens war an challa : ty re dorras dyns an debeles.
PSA.3.8	Y'n Arloedh yma ow selwyans : yma dha vennath war dha bobel.
PSA.4.1	Gorthyp dhymm pan alwav, A Dhuw ow gwiryonedh : ty a'm gorras yn rydhses pan en vy yn anken; bydh grassyes orthiv, ha klew ow fysadow.
PSA.4.2	Hwi vebyon den, pygemmys prys y fydh ow golowder treylys dhe dhespit : pygemmys prys y kerowgh euveredh, ow hwilas gow?
PSA.4.3	Mes godhvydhewgh an Arloedh dhe apoyntya an den duwek dhodho ev y honan : an Arloedh a glew pan alwav warnodho.
PSA.4.4	Krenewgh, ha na beghewgh : kewsewgh yn agas kolonn war agas gweli, ha bedhewgh tawesek.
PSA.4.5	Offrynnewgh sakrifisow gwiryonedh : ha trestyewgh y'n Arloedh.
PSA.4.6	Lies huni a lever, Piw a dhiskwa dader dhyn ni : drehav warnan golow dha fas, A Arloedh.
PSA.4.7	Ty re worras lowender y'm kolonn : moy ages y'n termyn may feu aga ys ha'ga gwin ynkressyes.
PSA.4.8	Yn kres my a wrowedh ha koska : drefenn ty dha honan, A Arloedh, dhe wul dhymm triga yn sawder.
PSA.5.1	Ro skovarn dhe'm geryow, A Arloedh : gwra vri a'm preder.
PSA.5.2	Goslow orth lev ow kri, ow Myghtern, ha'm Duw : rag dhiso jy y pysav.
PSA.5.3	A Arloedh, y'n myttin ty a glew ow lev : y'n myttin my a orden ow fysadow orthis, ha goelyas.
PSA.5.4	Rag nyns osta Duw a gemmerro plesour yn sherewneth : ny yll drog triga genes jy.
PSA.5.5	Ny sev an re woethys y'th wolok : ty a gas an dhrogoberoryon oll.
PSA.5.6	Ty a dhistru an re a wowlever : an Arloedh a gas an gour goesek ha fals.
PSA.5.7	Mes my a dheu y'th chi herwydh dha dregeredh meur : my a omblek troha'th tempel sans yn own ahanas.
PSA.5.8	Hembronk vy, A Arloedh, y'th ewnder drefenn ow eskerens : gwra dha fordh kompes a-dheragov.
PSA.5.9	Rag nyns eus lelder yn aga ganow : yma sherewneth yn aga mysk.
PSA.5.10	Aga lonk yw logel igor : i a fekyl gans aga thaves.
PSA.5.11	Gwra dhedha perthi kessydhyans aga fegh, A Dhuw; koedhens i der aga husulyow aga honan : towl i dhe-ves herwydh aga lies kammweyth; rag i re sevis er dha bynn.
PSA.5.12	Mes lowenhes seul a hwila skovva ynnos : kanens i rag joy bynitha, rag ty dh'aga gwitha; ha bedhes heudhik ynnos jy an re a gar dha Hanow.
PSA.5.13	Rag ty, A Arloedh, a vennik an den gwiryon : ty a'n kudh gans favour kepar ha gans skoes.
PSA.6.1	A Arloedh, na rebuk vy y'th sorr : ha na geredh vy y'th konnar.
PSA.6.2	Bydh grassyes orthiv, A Arloedh, rag difreth ov vy : yaghha vy, A Arloedh, rag ow eskern yw troblys.
PSA.6.3	Ow enev ynwedh yw pur dhyegrys : mes ty, A Arloedh, pygemmys termyn?
PSA.6.4	Dehwel, A Arloedh, delirv ow enev : salw vy a-barth dha dregeredh.
PSA.6.5	Rag yn ankow nyns eus kov ahanas : piw a'th wormel y'n pytt?
PSA.6.6	Skwith ov vy a'm kynvann; pub nos my a lyb ow gweli : gans ow dagrow my a soub ow growedhva.
PSA.6.7	Ow lagas a fyll drefenn poenvos : ev a wannha drefenn ow eskerens oll.
PSA.6.8	Diberthewgh dhiworthiv, hwi dhrogoberoryon oll : rag an Arloedh re glewas lev ow oelva.
PSA.6.9	An Arloedh re glewas ow govynnadow : an Arloedh a dhegemmer ow fysadow.
PSA.6.10	Ow eskerens oll a berth meth hag a vydh troblys yn feur : i a dreyl war-dhelergh hag a berth meth yn tromm.
PSA.7.1	A Arloedh ow Duw, ynnos jy y trestyav : salw vy dhiworth oll an re a'm helgh, ha gwra ow delivra;
PSA.7.2	Ma na dorrons ow enev avel lew : orth y skwardya, ha nyns eus delivrer.
PSA.7.3	A Arloedh ow Duw, mar kwrugavy hemma : mars eus sherewneth y'm diwleuv;
PSA.7.4	Mars attylis vy drog dhe'n den esa yn kres genev : po pylla ow eskar heb ken;
PSA.7.5	Helghyes an eskar ow enev, ha'y gemmeres : stankyes ev ow bywnans dhe'n dor, ha gul dhe'm enor growedha y'n doust.
PSA.7.6	Sav, A Arloedh, y'th sorr; omdhrehav erbynn koler ow eskerens : ha difun, A Dhuw, y'n gwirvreus a worhemmynnsys.
PSA.7.7	Ha bedhes kuntelles an poblow a-dro dhis : warnodho kemmer dha se yn ughelder.
PSA.7.8	An Arloedh a vreus an poblow; breus vy, A Arloedh : herwydh ow gwiryonedh, ha herwydh ow gwiryonses usi ynnov.
PSA.7.9	Bedhes diwedh dhe dhrogober an debelwesyon; mes ty gwra fastya an den gwiryon : ty neb a brev an kolonnow ha'n lonethi, an Duw gwiryon.
PSA.7.10	Yma ow skoes gans Duw : ev a selow an re ewn aga holonn.
PSA.7.11	Duw yw breusyas gwiryon : ha Duw yw serrys pub dydh.
PSA.7.12	Mar ny goedh den yn edrek, ev a lymm y gledha : ev re blegyas y warak, ha'y darbari.
PSA.7.13	Hag ev re dharbaris ragdho daffar mernans : ev a wra y sethow sheftys a dan.
PSA.7.14	Otta, ev yw torrek gans sherewneth : ev re gonsevyas dregynn ha dineythi falsuri.
PSA.7.15	Ev re balas pytt ha'y gleudhya : hag ev re goedhas y'n kleudh a wrug.
PSA.7.16	Y dhregynn a dreyl war y benn y honan : ha'y arowder a dhiyskynn war y glopenn y honan.
PSA.7.17	My a wormel an Arloedh herwydh y ewnder : ha kana gormola dhe Hanow an Arloedh, an Ughella.
PSA.8.1	A Arloedh, agan Arloedh, ass yw bryntin dha Hanow yn oll an norvys : ty neb re worras dha wolowder a-ugh an nevow!
PSA.8.2	Mes a anow fleghigow ha'n re ow tena ty re fastyas nerth drefenn dha eskerens : rag may tiswrylli an eskar ha'n dialer.
